metric,dimension,spearman_r
ChrF,relevance,0.9151515152
ChrF,fluency,0.3939393939
ChrF,coherence,0.6363636364
ChrF,likert_consistency,0.6848484848
ChrF,aggregate,0.7939393939
ChrF+,relevance,0.9151515152
ChrF+,fluency,0.3939393939
ChrF+,coherence,0.6363636364
ChrF+,likert_consistency,0.6848484848
ChrF+,aggregate,0.7939393939
ChrF++,relevance,0.9151515152
ChrF++,fluency,0.3939393939
ChrF++,coherence,0.6363636364
ChrF++,likert_consistency,0.6848484848
ChrF++,aggregate,0.7939393939
NIST,relevance,0.7575757576
NIST,fluency,0.4303030303
NIST,coherence,0.5878787879
NIST,likert_consistency,0.8060606061
NIST,aggregate,0.7939393939
BLEU,relevance,0.6606060606
BLEU,fluency,0.4787878788
BLEU,coherence,0.6242424242
BLEU,likert_consistency,0.7818181818
BLEU,aggregate,0.7818181818
METEOR,relevance,0.8666666667
METEOR,fluency,0.4303030303
METEOR,coherence,0.5393939394
METEOR,likert_consistency,0.6484848485
METEOR,aggregate,0.7333333333
ROUGE-1,relevance,0.7939393939
ROUGE-1,fluency,0.3575757576
ROUGE-1,coherence,0.6484848485
ROUGE-1,likert_consistency,0.6727272727
ROUGE-1,aggregate,0.7454545455
ROUGE-L,relevance,0.5757575758
ROUGE-L,fluency,0.5272727273
ROUGE-L,coherence,0.6484848485
ROUGE-L,likert_consistency,0.6727272727
ROUGE-L,aggregate,0.7090909091
ROUGE-Lsum,relevance,0.5757575758
ROUGE-Lsum,fluency,0.5272727273
ROUGE-Lsum,coherence,0.6484848485
ROUGE-Lsum,likert_consistency,0.6727272727
ROUGE-Lsum,aggregate,0.7090909091
MoverScore,relevance,0.7090909091
MoverScore,fluency,0.3454545455
MoverScore,coherence,0.6121212121
MoverScore,likert_consistency,0.6242424242
MoverScore,aggregate,0.6242424242
ROUGE-2,relevance,0.7090909091
ROUGE-2,fluency,0.3454545455
ROUGE-2,coherence,0.6121212121
ROUGE-2,likert_consistency,0.6242424242
ROUGE-2,aggregate,0.6242424242
CIDEr,relevance,0.4060606061
CIDEr,fluency,0.5272727273
CIDEr,coherence,0.3939393939
CIDEr,likert_consistency,0.6606060606
CIDEr,aggregate,0.6727272727
BERTscore,relevance,0.6606060606
BERTscore,fluency,0.2
BERTscore,coherence,0.5878787879
BERTscore,likert_consistency,0.4303030303
BERTscore,aggregate,0.5151515152
TER,relevance,0.4787878788
TER,fluency,0.5272727273
TER,coherence,0.296969697
TER,likert_consistency,0.4545454545
TER,aggregate,0.5757575758
Yules_I,relevance,0.6606060606
Yules_I,fluency,0.1515151515
Yules_I,coherence,0.5151515152
Yules_I,likert_consistency,0.2606060606
Yules_I,aggregate,0.503030303
WER,relevance,0.6848484848
WER,fluency,0.07878787879
WER,coherence,0.3575757576
WER,likert_consistency,0.3212121212
WER,aggregate,0.4424242424
SummaC,relevance,0.696969697
SummaC,fluency,0.103030303
SummaC,coherence,0.2848484848
SummaC,likert_consistency,0.3939393939
SummaC,aggregate,0.4060606061
FEQA,relevance,0.296969697
FEQA,fluency,0.2363636364
FEQA,coherence,0.05454545455
FEQA,likert_consistency,0.2121212121
FEQA,aggregate,0.296969697
QAFactEval,relevance,0.4303030303
QAFactEval,fluency,0.1636363636
QAFactEval,coherence,0.1757575758
QAFactEval,likert_consistency,0.1757575758
QAFactEval,aggregate,0.1515151515
NUBIA,relevance,0.1151515152
NUBIA,fluency,0.06666666667
NUBIA,coherence,0.4303030303
NUBIA,likert_consistency,0.006060606061
NUBIA,aggregate,0.3090909091
BLEURT,relevance,0.05454545455
BLEURT,fluency,0.1878787879
BLEURT,coherence,0.05454545455
BLEURT,likert_consistency,0.296969697
BLEURT,aggregate,0.1151515152
FactCC,relevance,0.3454545455
FactCC,fluency,0.1757575758
FactCC,coherence,0.07878787879
FactCC,likert_consistency,0.04242424242
FactCC,aggregate,0.05454545455
Prism,relevance,0.2242424242
Prism,fluency,0.1515151515
Prism,coherence,0.103030303
Prism,likert_consistency,0.01818181818
Prism,aggregate,0.0303030303
